rule_id,rule_type,headword,key_reading,key_gloss,page,output_index,replacement_reading,replacement_gloss,enabled,review_status,note
007-reading-1f85ae23f85b6136,reading,,bûa-a-bûa cū chûntíam-kíaⁿ,by successive grindings it is worn away so that there is but little left.,25,1,bûa-a-bûa cū chûn tíam-kíaⁿ,,true,pending,
007-reading-662e6a41a315574d,reading,,sĭ i kâi a-hiaⁿ a m̄ si?,It is his brother is it not?,25,1,sĭ i kâi a-hiaⁿ a m̄ sĭ ?,,true,pending,
007-review-439190f736dd2820,review,,a tò̤-tńg,bend backward.,25,1,á tò̤-tńg,,true,pending,
007-review-00bac50890168d22,review,,a-nôⁿ,my child.,25,1,a-nôⁿ,,true,pending,
007-review-cf4f0451471aa095,review,,à chùi,to snap in shivers.,25,1,á chùi,,true,pending,
007-reading-c349330da5e4d865,reading,,sĭ uá ā,it is I.,26,1,sĭ úa ā,,true,pending,
007-reading-7a651067e230e517,reading,,"sĭ ā, tîeh cìeⁿ-seⁿ cìa° tîeh ā","yes, that is the way it must be.",26,1,"sĭ ā , tîeh cìeⁿ-seⁿ cìaⁿ tîeh ā",,true,pending,
007-reading-fba63851888607d8,reading,,uá lâi khṳ̀ ā,I am going.,26,1,úa lâi khṳ̀ ā,,true,pending,
007-review-14af5a2bed492cb5,review,,à-ngŵn,"the scholar ranking next to the senior wrangler among the successful candidates for the degrees of hâng-lim, cìu-sṳ̆ and kṳ́-jîn.",26,1,,the scholar ranking next to the senior wrangler among the successful candidates for the degrees of ahâng-lîm，cìn-sṳ̆ and kṳ́-jîn.,true,pending,
007-reading-ab55a2fbc34ba019,reading,,cúi ah ŏi cíoⁿ keⁿ,the wild ducks station a sentinel.,27,1,cúi ah ŏi cíeⁿ keⁿ,,true,pending,
007-reading-5b9a315b1b9a7317,reading,,"áa thiaⁿ-kìⁿ i cong-kú tó̤ ái, ái",I hear him grunting all the time.,27,1,"úa thiaⁿ-kìⁿ i cong-kú tó̤ ái, ái",,true,pending,
007-review-e73a7f2bde6dfee6,review,,cía sǹg sĭ ái-mŭe kâi sṳ,this is acting in an underhand way.,27,1,cía sǹg sĭ ái-mŭe kâi sṳ̄,,true,pending,
007-review-9fdfe71963a919b3,review,,"hi, nē, ai, lâk","the four emotions, satisfaction, anger, grief, joy.",27,1,"hí, nō, ai, lâk",,true,pending,
007-review-4818f4250abc2eff,review,,"i sĭ ái-kìe ka-kī kâi sṳ̄, a sĭ ái-kìe pât nâng kâi sṳ̄?","Is he sighing over his own affairs, or over those of some other person?",27,1,"i sĭ ai-kìe ka-kī kâi sṳ̄ , a sĭ ái-kìe ka-kī kâi sṳ̄, a sĭ ái-kìe pât nâng kâi sṳ̄?",,true,pending,
007-review-a669db3e315b5b60,review,,tāu-sa ⁿāⁿ,a core of mashed beans.,27,1,tāu-saⁿ āⁿ,,true,pending,
007-review-82d6852375b45216,review,,am-kẁn; am-īⁿ,monastic establishments.,28,1,,monastic estalishments.,true,pending,
007-review-7e8c5809421bcb47,review,,hûe-sīeⁿ bô seng-lí thiah am lêng-ūaⁿ khí,"when priests have no other lucrative employment, they take their temples to pieces and rebuild them.",28,1,hûe-sīeⁿ bô̤ seng-lí thiah am lêng-ūaⁿ khí,,true,pending,
007-reading-4906815f46a99f33,reading,,i kâi ăm chun tn̂g-tn̂g tó̤ thó̤iⁿ,he was gazing with outstretched neck.,29,1,i kâi ăm chun tn̂g-tn̂g tó̤ thóiⁿ,,true,pending,
007-reading-a8887ad329c2675e,reading,,àm pau cí kâi ì-sṳ̄ tŏ̤ lăi,has this meaning involved in it.,29,1,àm pau cí kâi ì-sṳ̀ tŏ̤ lăi,,true,pending,
007-reading-31c4f76a73982e9f,reading,,àm-àm khṳ̂ cò̤,secretly went and did it.,29,1,àm-àm khṳ̀ cò̤,,true,pending,
007-review-e13dc080ddb13367,review,,ang,ang A husband.,29,1,,A husband.,true,pending,
007-review-fab7f98e6a942e87,review,,hún ang,the color of rouge.,31,1,hún âng,,true,pending,
007-review-10bfcc7273391148,review,,cang chíu áu khi lâi koiⁿ-thâu,lift it up on the shoulder with the hands.,32,1,cang chíu áu khí lâi koiⁿ-thâu,,true,pending,
007-reading-8cca03af15624a6e,reading,,i úa tī-tîang cò̤ ău piah suaⁿ?,Whom does he rely upon to back him up?,33,1,i úa tī-tîang cò̤ ău piah suaⁿ ？,,true,pending,
