puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
*A ma,A ma,,,阿媽,媽,Grandmother,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,41
*A mũe,A mue,,,阿妹,妹,Sister younger,Sister (y),,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,41
*A sun,A sun,,,阿孫,孫,Grand child,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,41
*A tĩ,A ti,,,阿弟,弟,Brother younger,Brother (y),,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,41
*Ai,Ai,,,哀,,Grief,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,35
*An thun,An chun,,,鵪鶉,,Quail,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,49
*Bo,Baw,,,㡌,,Hat,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,53
*Bo kia,Baw kia,,,㡌囝,丨子,Cap,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,53
*Bì tsúi,Bi chui,,,氼水,,Dive into the water,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Bói che̍k peh thih-teng,Boi chek pĕ tĭ-teng,,,買一百鐵釘,,Buy 100 nails,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Bô siang kan,Baw siang kan,,,無相干,,Never mind,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Bô sìn tek put tit kiù,Baw sin tĕk put tit kiw,,,無信德不得救,,Without faith it is impossible to be saved,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Bú chiang,Bu chiang,,,武將,,A general,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Búa chie̍h,Boa chiĕ,,,磨石,,Grind stone,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,46
*Bû khó siang-sìn i,Lur mʼhaw siang-sin i,,,汝毋可相信伊,爾不可相信伊,You can't trust him,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Bûn chieⁿ,Bun chie,,,文章,,Fine writing,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Bûn jîn,Bun jin,,,文人,,Literary man,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Bûn kuaⁿ,Bun kua,,,文官,,Civil officer,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Bûn lí,Bun li,,,文理,,Style,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Bûn o̍h,Bun ŏ,,,文學,,A scholar,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Būe cheng,Bue cheng,,,未曾,未嘗,Not yet,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Būe cheng khui chhiú,Boe cheng kui chiw,,,未曾開手,未嘗開手,He has not yet commenced,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,34
*Chek *teng* se bo,Chĕk *teng* sey baw,,,一頂紗㡌,,1 Close cap,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,55
*Che̍k *ki* hõu sùaⁿ,Chĕk *ki* hou sua,,,一枝雨傘,,1 Umbrella,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Che̍k *koiⁿ* pâng,Chĕk *koi* pang,,,一間房,,1 Room,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Che̍k *kâi* īⁿ,Chek *kai* i,,,一個硯,一箇硯,1 Ink stand,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Che̍k *kù* tsṳ,Chĕk *ku* chŭr,,,一句書,,1 Sentence,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Che̍k *pé* tṳ̄,Chĕk *pèy* tŭr,,,一把箸,,1 Bundle of chopsticks,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
